Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Ecart,Regularite,Longueur,Note_Engagement,Note_Status,Score_Complexe,Score_Secu,Score_Quali,Rang_Expert,Rang_Secu,Rang_Quali,Score_Final,Segment_Editorial
Les Carnets de l'apothicaire,Mystery / Historical,Light Novel,24,En cours,OLM,2023-10-22,8.8,9.5,Ep 19: Maomao,Scène de danse/sacrifice visuellement magnifique et tragique.,7.9,Ep 7: Retour à la maison,"Rythme plus posé, enquête mineure, mais reste très bon.","Enquêtes à la cour impériale, Maomao est une héroïne cynique géniale.","Complots politiques s'épaississent, passé de Maomao révélé.",(Saison 2 annoncée),1.5999999999999996,8.4,3.1780538303479458,4.544015279538089,0,7.81440152795381,7.947200763976905,8.33440152795381,28.0,23.0,11.0,8.064401527953809,Très bon
Medalist,Sport / Figure Skating,Manga,3,En cours,ENGI,2025-01-05,8.0,8.2,Ep 1: Coach et Élève,"Début prometteur, la passion du patinage est bien là.",0.0,(Trop récent),Pas assez de données pour le pire épisode.,Rencontre entre un coach raté et une prodige passionnée.,(Non diffusé),(Non diffusé),8.2,1.8000000000000007,1.0986122886681098,1.5708075735928126,0,5.097080757359282,4.178540378679641,6.737080757359282,59.0,59.0,58.0,5.347080757359282,À éviter
Du mouvement de la Terre,Historical / Drama,Manga,8,Fini,Madhouse,2024-10-05,8.4,8.9,Ep 8: La vérité,Conclusion philosophique puissante sur la science et la foi.,7.8,Ep 2: L'hérétique,Mise en place un peu dense des concepts astronomiques.,Lutte intellectuelle et tortures pour prouver l'héliocentrisme.,(Série courte en 1 saison unique),(Non diffusé),1.1000000000000005,8.899999999999999,2.0794415416798357,2.973207705945276,10,8.087320770594529,8.458660385297264,7.907320770594528,13.0,5.0,36.0,8.087320770594529,Très bon
Samurai Champloo,Adventure / Chanbara,Original,26,Fini,Manglobe,2004-05-20,8.5,9.2,Ep 26: Evanescent Encounter,Fin stylée et mélancolique. Le voyage valait le coup.,7.4,Ep 22: Cosmic Collisions,Episode 'Zombies' étrange qui divise les fans (aimé ou détesté).,"Mélange Hip-hop et Samouraïs, voyage épisodique cool.",Exploration du passé sombre des protagonistes.,Conclusion du voyage vers le 'Samouraï qui sent le tournesol'.,1.799999999999999,8.200000000000001,3.258096538021482,4.658461197102779,10,8.10084611971028,8.232923059855139,8.085846119710279,11.0,12.0,27.0,8.10084611971028,Très bon
L'Attaque des Titans,Action / Mystery,Manga,89,Fini,Wit Studio / MAPPA,2013-04-07,8.5,9.9,Ep 54: Héros (Hero),Note quasi parfaite. Le sacrifice d'Armin et le discours d'Erwin.,6.8,Ep 14: On ne peut rien y faire (Recap),"Un résumé avant le tribunal, casse le rythme de la S1.",La chute du mur et la peur primale des Titans.,Le complot politique et la révélation du Titan Cuirassé.,Le retour à Shiganshina et la découverte de la cave (Vérité).,3.1000000000000005,6.8999999999999995,4.48863636973214,6.4179001795322455,10,7.886790017953226,7.670895008976612,8.131790017953225,26.0,34.0,20.0,7.886790017953226,Très bon
Death Note,Thriller / Supernatural,Manga,37,Fini,Madhouse,2006-10-04,8.6,9.5,Ep 25: Silence,La mort de L. Un tournant scénaristique choquant et brillant.,7.2,Ep 26: Régénération,"Transition brutale après le climax, introduction de Near/Mello.","Le duel intellectuel Kira vs L, tension psychologique maximale.",L'arrivée de Misa et la complexification des règles du cahier.,La seconde partie avec Near et Mello (souvent jugée inférieure).,2.3,7.7,3.6109179126442243,5.162928963483516,10,8.056292896348353,8.048146448174176,8.166292896348352,15.0,17.0,19.0,8.056292896348353,Très bon
Hunter x Hunter (2011),Adventure / Shonen,Manga,148,Fini,Madhouse,2011-10-02,9.0,9.7,Ep 131: Colère x et x Lumière,La transformation de Gon. Animation et émotion terrifiantes.,5.9,Ep 13: Lettre x de x Gon (Recap),"Episode résumé très tôt dans la série, inutile.",Examen Hunter : Aventure pure et découverte des amis.,"Yorknew City : Ambiance noire, Kurapika vs la Brigade Fantôme.",Chimera Ant : L'arc le plus sombre et philosophique du Shonen.,3.799999999999999,6.200000000000001,4.997212273764115,7.1450674341137,10,8.02450674341137,7.557253371705686,8.53450674341137,19.0,42.0,6.0,8.02450674341137,Très bon
Code Geass,Sci-Fi / Mecha,Original,50,Fini,Sunrise,2006-10-06,8.7,9.8,Ep 50: Re;,Le 'Zero Requiem'. Considéré comme la meilleure fin d'animé jamais écrite.,7.1,Ep 6: Le masque volé,"Episode 'humour' au lycée avec un chat, détonne avec le sérieux.",La rébellion de Lelouch et la stratégie militaire avec le Geass.,"La chute et l'exil, perte de mémoire et reconstruction.",La conquête mondiale et le sacrifice final pour la paix.,2.700000000000001,7.299999999999999,3.912023005428146,5.5934522382283856,10,8.03434522382284,7.909672611911418,8.249345223822838,18.0,24.0,16.0,8.03434522382284,Très bon
Steins;Gate,Sci-Fi / Thriller,Visual Novel,24,Fini,White Fox,2011-04-06,9.1,9.7,Ep 22: Being Meltdown,Le choix impossible entre Kurisu et Mayuri. Sommet émotionnel.,7.8,Ep 1: Turning Point,"Début très lent et confus (voulu), filtre beaucoup de spectateurs.","Mise en place lente, tranche de vie et théories temporelles.","Basculement dans le thriller, course contre la montre pour sauver Mayuri.",Dénouement et atteinte de la ligne d'univers Steins Gate.,1.8999999999999995,8.100000000000001,3.1780538303479458,4.544015279538089,10,8.389401527953808,8.417200763976906,8.54440152795381,3.0,6.0,4.0,8.389401527953808,Chef-d'œuvre
GTO,Comedy / Slice of Life,Manga,43,Fini,Studio Pierrot,1999-06-30,8.7,9.2,Ep 43: La dernière leçon,Conclusion émouvante de la carrière d'Onizuka.,7.4,Ep 34: Gangsters,Histoire un peu tirée par les cheveux avec des Yakuza.,"Onizuka devient prof, leçons de vie non conventionnelles.",Affrontement avec la sous-directrice et élèves difficiles.,Arc final et rédemption des élèves les plus durs.,1.799999999999999,8.200000000000001,3.7612001156935624,5.3778040610598445,10,8.282780406105985,8.348890203052992,8.317780406105985,7.0,9.0,12.0,8.282780406105985,Chef-d'œuvre
Naruto Shippuden,Action / Shonen,Manga,500,Fini,Studio Pierrot,2007-02-15,8.2,9.7,Ep 476: Le dernier combat,Naruto vs Sasuke final. Animation d'art et essai sublime.,4.3,Ep 449: Shinobi Unite (Filler),Remplissage de mauvaise qualité au milieu de la guerre.,Le sauvetage de Gaara et les retrouvailles froides avec Sasuke.,L'arc Hidan/Kakuzu et la vengeance de Shikamaru.,L'invasion de Pain et le mode Ermite de Naruto.,5.3999999999999995,4.6000000000000005,6.214608098422191,8.885712975000125,10,7.2785712975000125,6.5242856487500065,7.908571297500012,47.0,55.0,35.0,7.2785712975000125,Risqué / Inégal
Psycho-Pass,Sci-Fi / Police,Original,41,Fini,Production I.G,2012-10-12,8.3,9.2,Ep 11: Saint's Supper,Révélation sur le système Sybil et cruauté de Makishima.,6.5,Ep 18 (S2): Titre S2,La saison 2 est globalement mal aimée (changement de scénariste).,Découverte du Dominator et traque de Makishima (Chef d'oeuvre).,"Saison 2 : Akane est cheffe, mais scénario moins fin.","Saison 3 : Nouveaux inspecteurs, intrigue plus politique.",2.6999999999999993,7.300000000000001,3.713572066704308,5.309704968377683,10,7.785970496837769,7.735485248418885,7.900970496837769,29.0,30.0,37.0,7.785970496837769,Risqué / Inégal
My Hero Academia,Action / Super Power,Manga,138,En cours,Bones,2016-04-03,7.9,9.6,Ep 49: One For All,All Might vs All For One. 'United States of Smash'.,5.5,Ep 64: Le scoop de la 1-A (Filler),Episode résumé inutile pour lancer la saison 4.,"Entrée à Yuei, Deku reçoit le pouvoir. Ambiance scolaire.","Tournoi sportif et stage, développement de Shoto Todoroki.","Camp d'été et enlèvement de Bakugo, ton plus sombre.",4.1,5.9,4.927253685157205,7.045039897597771,0,6.819503989759777,6.462251994879889,7.614503989759777,56.0,56.0,50.0,7.069503989759777,À éviter
Bleach,Action / Supernatural,Manga,366,Fini,Studio Pierrot,2004-10-05,7.9,9.7,Ep 366 (TYBW Ep 6): The Fire,Yamamoto en action (Arc Guerre Sanglante). Visuellement fou.,4.8,Ep 70: Bount Arc (Filler),"Début de l'arc filler des Bounts, universellement détesté.",Arc Soul Society : Sauvetage de Rukia (Un classique).,Arc Arrancar : Introduction des Espada et du Hueco Mundo.,Arc Guerre Sanglante (2022) : Retour violent et magnifique.,4.8999999999999995,5.1000000000000005,5.902633333401366,8.439648126901018,10,7.2189648126901025,6.631982406345052,7.673964812690102,50.0,53.0,45.0,7.2189648126901025,Risqué / Inégal
Parasite: La Maxime,Sci-Fi / Horror,Manga,24,Fini,Madhouse,2014-10-09,8.3,9.3,Ep 12: Coeur,"Migi défend Shinichi, mort de Kana. Bascule psychologique.",7.6,Ep 1: Métamorphose,"Introduction un peu étrange, le design 'années 80' modernisé surprend.","Invasion silencieuse, Shinichi apprend à vivre avec Migi.",Conflit avec les parasites organisés et Reiko Tamura.,Bataille finale et réflexions écologiques sur l'humanité.,1.700000000000001,8.299999999999999,3.1780538303479458,4.544015279538089,10,8.009401527953809,8.197200763976905,7.924401527953809,20.0,14.0,34.0,8.009401527953809,Très bon
Demon Slayer,Action / Historical,Manga,55,En cours,Ufotable,2019-04-06,8.5,9.9,Ep 19: Le Dieu du feu,Hinokami Kagura. L'épisode qui a cassé Internet.,7.1,Ep 14: La maison aux blasons,"Zenitsu et Inosuke sont bruyants, humour qui divise.",Formation de Tanjiro et sélection finale.,Rencontre avec Zenitsu/Inosuke et Montagne Natagumo.,Arc du Quartier des Plaisirs (S2) : Combat titanesque contre Daki/Gyutaro.,2.8000000000000007,7.199999999999999,4.007333185232471,5.729727750364365,0,7.407972775036438,7.286486387518218,8.092972775036436,43.0,45.0,26.0,7.657972775036438,Risqué / Inégal
Erased,Mystery / Supernatural,Manga,12,Fini,A-1 Pictures,2016-01-08,8.3,9.4,Ep 8: Spiral,"Le suspense est à son comble, Satoru proche de la vérité.",6.8,Ep 12: Treasure,"Fin précipitée et différente du manga, décevante pour beaucoup.",Enquête dans le passé pour sauver Kayo Hinazuki.,"Le tueur se rapproche, tension insoutenable.",Confrontation finale dans le présent (rythme accéléré).,2.6000000000000005,7.3999999999999995,2.4849066497880004,3.5529460442229963,10,7.6402946044223,7.697647302211149,7.7352946044223,35.0,33.0,44.0,7.6402946044223,Risqué / Inégal
Tokyo Ghoul,Horror / Action,Manga,48,Fini,Studio Pierrot,2014-07-04,7.5,9.6,Ep 12: Ghoul,Torture de Kaneki et cheveux blancs. 'Unravel' en fond.,5.2,Ep 24: Root A Finale,Fin de la S2 (Root A) incompréhensible et hors-sujet vs Manga.,"Découverte du monde des goules, horreur et faim.",Saison Root A : Scénario original qui s'éloigne du manga (décevant).,"Tokyo Ghoul:re : Ellipse temporelle, trop de personnages, confus.",4.3999999999999995,5.6000000000000005,3.871201010907891,5.535084514853182,10,6.858508451485318,6.576754225742659,7.113508451485319,55.0,54.0,56.0,6.858508451485318,À éviter
Mushishi,Slice of Life / Supernatural,Manga,26,Fini,Artland,2005-10-23,8.7,9.4,Ep 12: One-Eyed Fish,Histoire poétique et mélancolique typique de la série.,8.0,Ep 5: The Traveling Swamp,"Pas de mauvais épisode, juste des histoires moins marquantes.","Voyage de Ginko, histoires épisodiques apaisantes.",Exploration de la nature invisible (Mushi) et de l'humain.,"Pas de fil rouge fort, mais une ambiance unique et constante.",1.4000000000000004,8.6,3.258096538021482,4.658461197102779,10,8.330846119710278,8.512923059855138,8.285846119710278,5.0,3.0,14.0,8.330846119710278,Chef-d'œuvre
JoJo's Bizarre Adventure,Action / Supernatural,Manga,26,Fini,David Production,2012-10-06,8.0,9.1,Ep 20: Caesar's Youth,Le combat et le sacrifice de Caesar. 'SHIZAAAA!',6.9,Ep 10: New York's JoJo,"Début de la partie 2, transition de style surprenante.","Partie 1 (Phantom Blood) : Jonathan vs Dio, gothique et classique.","Partie 2 (Battle Tendency) : Joseph Joestar, tactique et humour.",Introduction des 'Stands' (Partie 3 - Stardust Crusaders).,2.1999999999999993,7.800000000000001,3.258096538021482,4.658461197102779,10,7.705846119710278,7.83292305985514,7.645846119710279,32.0,26.0,49.0,7.705846119710278,Risqué / Inégal
Jujutsu Kaisen,Action / Supernatural,Manga,47,En cours,MAPPA,2020-10-03,8.6,9.8,Ep 41 (S2): Thunderclap,Sukuna détruit Shibuya. Animation apocalyptique.,7.5,Ep 22: The Origin of Blind Obedience,Un peu de remplissage avant le final de la S1.,"Introduction de Yuji et des fléaux, école d'exorcisme.",Tournoi inter-lycées et montée en puissance.,"Arc de Shibuya (S2) : Tragédie, combats et pertes majeures.",2.3000000000000007,7.699999999999999,3.8501476017100584,5.504982125721892,0,7.590498212572189,7.565249106286093,8.200498212572189,36.0,41.0,18.0,7.840498212572189,Risqué / Inégal
Boruto: Naruto Next Generations,Action / Shonen,Manga,293,En pause,Studio Pierrot,2017-04-05,6.0,9.9,Ep 218: Partenaire,La perte de Kurama. Fin d'une ère et émotion pure.,4.3,Ep 67: Super Cho-Cho Butterfly Mode!,Arc insupportable et gênant centré sur la romance de Cho-Cho.,"Démarrage lent, souffre de la comparaison avec Naruto.",Enorme quantité de fillers (Anime Canon) souvent médiocres.,Les moments clés (Momoshiki/Isshiki) sont de très haut niveau.,5.6000000000000005,4.3999999999999995,5.680172609017068,8.121571409305368,0,5.432157140930537,5.006078570465268,6.052157140930537,58.0,58.0,59.0,5.682157140930537,À éviter
Frieren: Beyond Journey's End,Adventure / Fantasy,Manga,28,En cours,Madhouse,2023-09-29,9.3,9.4,Ep 10: Frieren the Slayer,Démonstration de puissance calme et terrifiante.,7.3,Ep 22: Future Enemies,"Rythme un peu plus lent, transition vers l'examen de mage.",Voyage mélancolique sur le temps qui passe et le deuil.,"Production Madhouse sublime, ambiance 'comfy' et contemplative.",Les relations subtiles (Frieren/Fern/Stark) sont le coeur du récit.,2.1000000000000005,7.8999999999999995,3.332204510175204,4.764421566491873,0,7.961442156649189,7.908221078324593,8.706442156649187,22.0,25.0,1.0,8.211442156649188,Très bon
Hell's Paradise,Action / Dark Fantasy,Manga,13,En cours,MAPPA,2023-04-01,7.7,8.3,Ep 13: Dreams and Reality,"Fin de saison satisfaisante, révélations et promesse de chaos.",7.1,Ep 11: Weak and Strong,"Rythme cassé par des flashbacks, action en retrait.",Mélange unique de beauté florale et d'horreur pure.,Gabimaru : un protagoniste tueur mais profondément humain.,Univers mystérieux et système de pouvoir (Tao) intrigant.,1.200000000000001,8.799999999999999,2.5649493574615367,3.667391961787687,0,7.241739196178768,7.663369598089384,7.406739196178769,49.0,35.0,54.0,7.491739196178768,Risqué / Inégal
My Hero Academia: Vigilantes,Action / Super Power,Manga,13,En cours,Bones,2025-04-07,7.6,8.6,Ep 12: Papa ni Sayonara,Moment émotionnel culminant de l'arc Sky Egg.,7.3,Ep 8: Major,Episode de mi-saison un peu plus faible en tension.,Un spin-off plus sombre et grounded que la série principale.,Exploration des bas-fonds et du passé d'Aizawa très appréciée.,Koichi est un protagoniste 'outsider' très attachant.,1.2999999999999998,8.7,2.5649493574615367,3.667391961787687,0,7.156739196178767,7.573369598089384,7.316739196178769,51.0,40.0,55.0,7.406739196178767,À éviter
Claymore,Action / Dark Fantasy,Manga,26,Fini,Madhouse,2007-04-03,7.7,8.4,Ep 8: Awakening,Le moment pivot. L'éveil de la conscience de Clare.,7.6,Ep 26: For Whose Sake,Fin originale de l'anime qui diverge du manga (très critiquée).,"Ambiance Dark Fantasy lourde et mature, combats sanglants.",Teresa of the Faint Smile : un des meilleurs personnages féminins.,L'anime ne couvre qu'une partie de l'histoire (Lire le manga !).,0.8000000000000007,9.2,3.258096538021482,4.658461197102779,10,7.960846119710278,8.412923059855139,7.545846119710278,23.0,7.0,51.0,7.960846119710278,Très bon
One Outs,Sport / Psychological,Manga,25,Fini,Madhouse,2008-10-08,8.3,8.5,Ep 7: Trick & Trap,L'art de la manipulation psychologique à son paroxysme.,7.2,Ep 16: Trick Stadium,"Un peu en dessous, mais reste très solide.",Tokuchi Toua est un génie du mal fascinant.,"Duel psychologique intense, pas juste du baseball.","Pas de vraie fin (lire le manga), mais le voyage est incroyable.",1.2999999999999998,8.7,3.2188758248682006,4.602383002913293,10,8.13523830029133,8.400119150145665,7.97023830029133,9.0,8.0,32.0,8.13523830029133,Très bon
Zetsuen No Tempest,Mystery / Fantasy,Manga,24,Fini,Bones,2012-10-05,7.9,8.5,Ep 1: The Mage in the Barrel,Une introduction mystérieuse et accrocheuse.,7.4,Ep 13: Tone Shift,Transition de milieu de saison qui divise les fans.,Dialogue shakespearien et citations de Hamlet/The Tempest.,Yoshino et Mahiro : un duo de protagonistes complexe.,La deuxième partie est plus lente et différente de la première.,1.0999999999999996,8.9,3.1780538303479458,4.544015279538089,10,7.969401527953809,8.337200763976906,7.664401527953809,21.0,11.0,48.0,7.969401527953809,Très bon
Your Lie in April,Drama / Music,Manga,22,Fini,A-1 Pictures,2014-10-09,8.6,9.5,Ep 22: Spring Breeze,La lettre de Kaori. Préparez les mouchoirs.,8.4,Ep 1: Monotone/Colorful,"Début un peu lent pour certains, mais visuellement beau.",Une oeuvre magnifique sur le traumatisme et la guérison.,La musique classique est un personnage à part entière.,Kaori Miyazono : une flamme qui brûle vite et fort.,1.0999999999999996,8.9,3.091042453358316,4.41960548422281,10,8.341960548422282,8.61098027421114,8.211960548422281,4.0,1.0,17.0,8.341960548422282,Chef-d'œuvre
Monster,Thriller / Mystery,Manga,74,Fini,Madhouse,2004-04-07,8.9,9.1,Ep 4: Night of Punishment,Tension insoutenable et écriture magistrale.,7.4,Ep 8: The Fugitive,"Rythme plus lent, mise en place des pièces.",Johan Liebert est le meilleur méchant de l'histoire.,Un thriller psychologique lent mais incroyablement récompensant.,"Pas de pouvoirs, juste la noirceur de l'âme humaine.",1.6999999999999993,8.3,4.30406509320417,6.153998198798609,10,8.500399819879862,8.517699909939932,8.565399819879861,1.0,2.0,2.0,8.500399819879862,Chef-d'œuvre
Hajime no Ippo,Sport / Boxing,Manga,76,Fini,Madhouse,2000-10-04,8.8,9.2,Ep 75: The First Step,Conclusion de la saison 1. Ippo devient champion.,7.5,Ep 30: Motivation,"Quelques longueurs, mais nécessaire pour le développement.",Le meilleur anime de sport pour ressentir les impacts.,Takamura est hilarant et terrifiant à la fois.,Dempsey Roll ! Les bruitages de jet engine sont iconiques.,1.6999999999999993,8.3,4.330733340286331,6.192128743052658,10,8.449212874305267,8.479606437152633,8.489212874305267,2.0,4.0,7.0,8.449212874305267,Chef-d'œuvre
Kenshin le Vagabond,Action / Historical,Manga,95,Fini,Studio Gallop / Deen,1996-01-10,8.3,9.0,Ep 30: Revenge,Le combat contre Saito à Kyoto. Sommet de la série.,6.2,Ep 80: Feng Shui Arc,"Filler de la saison 3, animation et scénario médiocres.",Arc Kyoto (S2) : Le Shonen à son apogée (Shishio Makoto).,"Saison 3 (Fillers) à éviter, la qualité chute drastiquement.",Kenshin Himura : le vagabond pacifiste au passé sanglant.,2.8,7.2,4.553876891600541,6.511181773879121,10,7.876118177387912,7.745559088693956,8.011118177387912,27.0,29.0,29.0,7.876118177387912,Très bon
Yū Yū Hakusho,Action / Supernatural,Manga,112,Fini,Studio Pierrot,1992-10-10,8.5,9.1,Ep 58: Grim Determination,Hiei utilise le Dragon of the Darkness Flame. Culte.,7.3,Ep 112: Forever!,Fin un peu abrupte mais nostalgique.,Tournoi des Ténèbres : Le standard or des tournois en anime.,Les 4 protagonistes ont une alchimie parfaite.,Yusuke Urameshi est un délinquant au grand coeur.,1.7999999999999998,8.2,4.718498871295094,6.746560037122057,10,8.309656003712206,8.337328001856104,8.294656003712207,6.0,10.0,13.0,8.309656003712206,Chef-d'œuvre
